               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10897,            0.037414,             0.03753,           0.0020293,             0.10497,           0.0024353,          0.00058179,            0.088803,            0.029006,            0.030031,              0.0838,              0.0018,              0.0018
                   1,            0.082189,            0.040228,            0.024654,             0.74146,            0.091292,            0.052866,            0.014053,            0.071539,            0.026976,            0.023017,            0.066676,           0.0036756,           0.0036756
                   2,            0.076709,            0.031335,            0.020484,             0.75686,             0.12494,            0.070355,            0.020067,            0.080623,            0.019316,            0.023152,            0.049526,           0.0055261,           0.0055261
                   3,            0.076727,            0.028929,            0.020207,             0.80145,             0.14617,             0.12883,            0.033099,            0.067512,            0.019434,            0.020519,            0.032352,           0.0073515,           0.0073515
                   4,            0.070012,            0.027994,            0.018498,             0.78653,             0.11407,             0.11156,            0.024839,            0.071316,            0.015938,            0.018076,            0.015152,           0.0091518,           0.0091518
                   5,            0.063709,            0.028271,            0.015284,             0.52284,             0.35511,             0.16494,             0.05816,             0.07465,            0.020834,            0.017987,             0.00967,             0.00967,             0.00967
                   6,            0.056671,            0.026635,            0.013289,             0.51099,              0.4079,             0.23678,            0.094708,            0.053917,            0.022153,            0.015582,             0.00967,             0.00967,             0.00967
                   7,            0.050566,            0.024484,            0.011573,             0.69878,             0.46562,             0.40386,             0.14451,            0.046512,            0.019626,            0.013873,            0.009604,            0.009604,            0.009604
                   8,            0.048316,            0.024116,           0.0096138,             0.71888,             0.44014,             0.44979,             0.20054,            0.043639,            0.016145,            0.014121,            0.009538,            0.009538,            0.009538
                   9,            0.044162,            0.023402,            0.009266,             0.78164,             0.47498,              0.5043,             0.24283,            0.040313,            0.015034,            0.013932,            0.009472,            0.009472,            0.009472
                  10,            0.041547,            0.023173,            0.009082,             0.83086,             0.51432,              0.5445,             0.25285,            0.037626,            0.013937,            0.013727,            0.009406,            0.009406,            0.009406
                  11,            0.038474,            0.022946,           0.0078194,             0.87031,              0.4959,             0.55713,             0.28628,            0.033843,            0.013975,            0.012966,             0.00934,             0.00934,             0.00934
                  12,            0.038287,            0.022655,            0.007651,             0.87953,              0.4836,             0.59043,             0.26438,            0.038663,            0.013425,            0.012678,            0.009274,            0.009274,            0.009274
                  13,            0.038868,            0.021548,           0.0075667,             0.87523,             0.49302,             0.58606,             0.30049,            0.031173,            0.013331,            0.013465,            0.009208,            0.009208,            0.009208
                  14,            0.037015,            0.020301,           0.0077657,             0.90656,             0.48762,              0.5708,             0.30078,            0.034314,            0.012941,            0.013183,            0.009142,            0.009142,            0.009142
                  15,            0.036933,            0.021988,           0.0071765,             0.88871,             0.49683,             0.58763,              0.2975,            0.032782,            0.012963,            0.012402,            0.009076,            0.009076,            0.009076
                  16,            0.036091,            0.020617,           0.0067832,             0.91618,             0.49019,             0.59738,             0.30241,            0.031981,            0.012689,            0.012696,             0.00901,             0.00901,             0.00901
                  17,            0.033944,             0.01993,           0.0061519,             0.89662,             0.47887,             0.57601,             0.29011,            0.029319,             0.01267,            0.011219,            0.008944,            0.008944,            0.008944
                  18,            0.033171,            0.020364,           0.0075764,             0.87826,              0.5169,             0.61065,             0.33379,            0.031567,            0.012641,            0.012709,            0.008878,            0.008878,            0.008878
                  19,            0.031918,            0.020356,           0.0071167,              0.8425,             0.50374,             0.56727,             0.30063,            0.031179,            0.012622,            0.012085,            0.008812,            0.008812,            0.008812
                  20,            0.034028,            0.020728,           0.0060953,             0.88165,             0.50377,             0.59903,             0.30922,            0.030807,            0.012446,            0.011118,            0.008746,            0.008746,            0.008746
                  21,            0.031736,            0.020055,           0.0062643,             0.87014,             0.52828,             0.60613,             0.33409,            0.027105,            0.012577,            0.012182,             0.00868,             0.00868,             0.00868
                  22,            0.031046,            0.019738,           0.0065948,               0.881,             0.51475,             0.60782,             0.33694,            0.028126,            0.012436,             0.01248,            0.008614,            0.008614,            0.008614
                  23,            0.030758,              0.0219,           0.0062589,             0.87986,             0.51827,             0.60587,             0.33285,            0.026905,            0.012232,            0.011271,            0.008548,            0.008548,            0.008548
                  24,            0.030088,            0.019104,            0.006874,             0.89188,             0.51414,             0.62088,             0.34921,            0.026855,            0.012495,           0.0099691,            0.008482,            0.008482,            0.008482
                  25,             0.02965,            0.019548,           0.0058839,             0.88437,             0.52185,             0.61352,             0.35558,            0.026248,            0.012165,            0.010257,            0.008416,            0.008416,            0.008416
                  26,              0.0298,            0.019229,           0.0054799,              0.8648,             0.51535,             0.60946,             0.32514,             0.02952,            0.012326,           0.0097108,             0.00835,             0.00835,             0.00835
                  27,            0.028028,            0.019579,           0.0053189,             0.89656,             0.51642,             0.61325,             0.35293,            0.026688,            0.012397,           0.0095414,            0.008284,            0.008284,            0.008284
                  28,               0.029,            0.019272,           0.0060841,             0.88853,             0.51824,              0.6105,             0.35406,            0.028569,            0.012321,           0.0096364,            0.008218,            0.008218,            0.008218
                  29,            0.030117,            0.020322,           0.0052578,             0.86903,             0.53218,             0.62103,             0.34932,            0.027362,            0.012286,           0.0094365,            0.008152,            0.008152,            0.008152
                  30,            0.027319,            0.019801,           0.0049519,             0.85367,             0.55477,             0.63695,             0.37466,            0.026335,            0.012206,           0.0090942,            0.008086,            0.008086,            0.008086
                  31,            0.028626,            0.018956,           0.0046388,             0.86136,             0.51089,             0.61065,             0.34543,            0.027533,            0.012204,           0.0089843,             0.00802,             0.00802,             0.00802
                  32,            0.028205,            0.018126,           0.0052566,             0.87536,             0.52683,             0.64181,             0.35155,            0.027635,            0.012242,           0.0091462,            0.007954,            0.007954,            0.007954
                  33,            0.026902,            0.018956,           0.0049431,             0.90424,             0.52352,             0.64005,             0.36348,            0.025452,            0.012106,            0.010019,            0.007888,            0.007888,            0.007888
                  34,            0.026734,            0.018892,           0.0043985,             0.88747,             0.53163,             0.66104,             0.37981,             0.02664,            0.012224,            0.009011,            0.007822,            0.007822,            0.007822
